ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype
2023-07-27 12:15:00,CIPLA,CIPLA27JUL23C1170,70157,OPTSTK,650,12350,8.0,98800.0,-98800.0,B
2023-07-27 12:15:00,COLPAL,COLPAL27JUL23C2000,71348,OPTSTK,350,8050,12.0,96600.0,-96600.0,B
2023-07-27 12:15:00,SYNGENE,SYNGENE27JUL23C795,155992,OPTSTK,1000,6000,15.85,95100.0,-95100.0,B
2023-07-27 12:15:00,GRANULES,GRANULES27JUL23C317.5,125856,OPTSTK,2000,60000,1.65,99000.0,-99000.0,B
2023-07-27 12:15:00,IDEA,IDEA27JUL23P9,103051,OPTSTK,80000,160000,0.45,72000.0,-72000.0,B
2023-07-27 12:15:00,CANFINHOME,CANFINHOME27JUL23P750,69551,OPTSTK,975,16575,5.95,98621.25,-98621.25,B
2023-07-27 12:15:00,RBLBANK,RBLBANK27JUL23P235,55752,OPTSTK,5000,40000,2.5,100000.0,-100000.0,B
2023-07-27 12:15:00,PNB,PNB27JUL23P63,138614,OPTSTK,16000,400000,0.25,100000.0,-100000.0,B
2023-07-27 12:16:00,COLPAL,COLPAL27JUL23C2000,71348,OPTSTK,350,8050,12.05,97002.5,97002.5,S
2023-07-27 12:16:00,SYNGENE,SYNGENE27JUL23C795,155992,OPTSTK,1000,6000,15.85,95100.0,95100.0,S
2023-07-27 12:16:00,GRANULES,GRANULES27JUL23C317.5,125856,OPTSTK,2000,60000,2.0,120000.0,120000.0,S
2023-07-27 12:19:00,CIPLA,CIPLA27JUL23C1170,70157,OPTSTK,650,12350,8.4,103740.0,103740.0,S
2023-07-27 12:19:00,PNB,PNB27JUL23P63,138614,OPTSTK,16000,400000,0.25,100000.0,100000.0,S
2023-07-27 12:23:00,CANFINHOME,CANFINHOME27JUL23P750,69551,OPTSTK,975,16575,6.4,106080.0,106080.0,S
2023-07-27 13:15:00,CIPLA,CIPLA27JUL23C1180,70159,OPTSTK,650,13000,7.5,97500.0,-97500.0,B
2023-07-27 13:15:00,RBLBANK,RBLBANK27JUL23P232.5,50631,OPTSTK,5000,50000,2.0,100000.0,-100000.0,B
2023-07-27 13:17:00,CIPLA,CIPLA27JUL23C1180,70159,OPTSTK,650,13000,6.75,87750.0,87750.0,S
2023-07-27 13:46:00,RBLBANK,RBLBANK27JUL23P232.5,50631,OPTSTK,5000,50000,1.5,75000.0,75000.0,S
2023-07-27 14:03:00,RBLBANK,RBLBANK27JUL23P235,55752,OPTSTK,5000,40000,2.6,104000.0,104000.0,S
2023-07-27 14:15:00,CIPLA,CIPLA27JUL23C1180,70159,OPTSTK,650,50700,1.95,98865.0,-98865.0,B
2023-07-27 14:15:00,COLPAL,COLPAL27JUL23C2010,71359,OPTSTK,350,10500,9.5,99750.0,-99750.0,B
2023-07-27 14:15:00,GRANULES,GRANULES27JUL23C320,80824,OPTSTK,2000,200000,0.5,100000.0,-100000.0,B
2023-07-27 14:15:00,CANFINHOME,CANFINHOME27JUL23P740,69546,OPTSTK,975,19500,4.9,95550.0,-95550.0,B
2023-07-27 14:15:00,RBLBANK,RBLBANK27JUL23P235,55752,OPTSTK,5000,35000,2.6,91000.0,-91000.0,B
2023-07-27 14:15:00,PNB,PNB27JUL23P63,138614,OPTSTK,16000,320000,0.3,96000.0,-96000.0,B
2023-07-27 14:16:00,CIPLA,CIPLA27JUL23C1180,70159,OPTSTK,650,50700,1.95,98865.0,98865.0,S
2023-07-27 14:16:00,GRANULES,GRANULES27JUL23C320,80824,OPTSTK,2000,200000,0.5,100000.0,100000.0,S
2023-07-27 14:17:00,COLPAL,COLPAL27JUL23C2010,71359,OPTSTK,350,10500,9.5,99750.0,99750.0,S
2023-07-27 14:17:00,CANFINHOME,CANFINHOME27JUL23P740,69546,OPTSTK,975,19500,3.8,74100.0,74100.0,S
2023-07-27 14:18:00,RBLBANK,RBLBANK27JUL23P235,55752,OPTSTK,5000,35000,1.9,66500.0,66500.0,S
2023-07-27 14:20:00,PNB,PNB27JUL23P63,138614,OPTSTK,16000,320000,0.3,96000.0,96000.0,S
2023-07-27 15:04:00,IDEA,IDEA27JUL23P9,103051,OPTSTK,80000,160000,0.5,80000.0,80000.0,S
2023-07-27 15:15:00,SYNGENE,SYNGENE27JUL23C810,155998,OPTSTK,1000,2000000,0.05,100000.0,-100000.0,B
2023-07-27 15:15:00,GRANULES,GRANULES27JUL23C322.5,125858,OPTSTK,2000,200000,0.5,100000.0,-100000.0,B
2023-07-27 15:15:00,CANFINHOME,CANFINHOME27JUL23P750,69551,OPTSTK,975,19500,4.9,95550.0,-95550.0,B
2023-07-27 15:15:00,TECHM,TECHM27JUL23P1100,61005,OPTSTK,600,19800,5.0,99000.0,-99000.0,B
2023-07-27 15:15:00,PNB,PNB27JUL23P62,138612,OPTSTK,16000,2000000,0.05,100000.0,-100000.0,B
2023-07-27 15:26:00,SYNGENE,SYNGENE27JUL23C810,155998,OPTSTK,1000,2000000,0.05,100000.0,100000.0,S
2023-07-27 15:26:00,GRANULES,GRANULES27JUL23C322.5,125858,OPTSTK,2000,200000,0.5,100000.0,100000.0,S
2023-07-27 15:26:00,CANFINHOME,CANFINHOME27JUL23P750,69551,OPTSTK,975,19500,4.05,78975.0,78975.0,S
2023-07-27 15:26:00,TECHM,TECHM27JUL23P1100,61005,OPTSTK,600,19800,8.2,162360.0,162360.0,S
2023-07-27 15:26:00,PNB,PNB27JUL23P62,138612,OPTSTK,16000,2000000,0.05,100000.0,100000.0,S
