time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,202.45,202.5,202.35,202.35,202.13,15914,0,5565194,0,30108
2023-08-08 15:27:00,1691488620,202.5,202.55,202.4,202.5,202.13,63710,0,5549280,0,30108
2023-08-08 15:26:00,1691488560,202.4,202.55,202.4,202.55,202.13,32485,0,5485570,0,30108
2023-08-08 15:25:00,1691488500,202.35,202.55,202.3,202.45,203.86,31308,0,5453085,0,30108
2023-08-08 15:24:00,1691488440,202.55,202.6,202.35,202.45,202.12,72525,0,5421777,0,30108
2023-08-08 15:23:00,1691488380,202.15,202.55,202.15,202.5,202.53,124817,0,5349252,0,30108
2023-08-08 15:22:00,1691488320,202.1,202.2,201.95,202.05,201.25,60616,0,5224435,0,30108
2023-08-08 15:21:00,1691488260,202.1,202.2,202.0,202.05,202.12,64709,0,5163819,0,30108
2023-08-08 15:20:00,1691488200,202.1,202.2,202.05,202.2,202.12,21771,0,5099110,0,30108
2023-08-08 15:19:00,1691488140,202.05,202.1,202.0,202.05,202.12,29114,0,5077339,0,30108
2023-08-08 15:18:00,1691488080,202.1,202.1,201.95,202.0,202.12,39478,0,5048225,0,30108
2023-08-08 15:17:00,1691488020,201.85,202.05,201.85,202.0,202.12,38357,0,5008747,0,30108
2023-08-08 15:16:00,1691487960,202.05,202.1,201.5,201.8,202.12,87724,0,4970390,0,30108
2023-08-08 15:15:00,1691487900,201.85,202.1,201.85,202.1,202.12,38650,0,4882666,0,30108
2023-08-08 15:14:00,1691487840,201.8,201.9,201.75,201.9,200.42,28481,0,4844016,0,30108
2023-08-08 15:13:00,1691487780,201.75,201.85,201.75,201.85,202.13,26889,0,4815535,0,30108
2023-08-08 15:12:00,1691487720,201.65,201.75,201.6,201.7,202.13,15671,0,4788646,0,30108
2023-08-08 15:11:00,1691487660,201.55,201.65,201.5,201.6,202.13,42336,0,4772975,0,30108
2023-08-08 15:10:00,1691487600,201.35,201.75,201.35,201.5,201.0,82743,0,4730639,0,30108
2023-08-08 15:09:00,1691487540,201.25,201.3,201.2,201.3,202.15,25858,0,4647896,0,30108
2023-08-08 15:08:00,1691487480,201.3,201.3,201.2,201.3,200.85,35471,0,4622038,0,30108
2023-08-08 15:07:00,1691487420,201.35,201.4,201.3,201.4,202.16,6093,0,4586567,0,30108
2023-08-08 15:06:00,1691487360,201.15,201.25,201.1,201.25,202.16,15559,0,4580474,0,30108
2023-08-08 15:05:00,1691487300,201.0,201.15,201.0,201.1,200.23,23618,0,4564915,0,30108
2023-08-08 15:04:00,1691487240,201.2,201.3,201.05,201.15,202.17,6138,0,4541297,0,30108
2023-08-08 15:03:00,1691487180,201.2,201.25,201.05,201.1,202.17,7668,0,4535159,0,30108
2023-08-08 15:02:00,1691487120,201.1,201.25,201.05,201.25,202.17,4592,0,4527491,0,30108
2023-08-08 15:01:00,1691487060,201.15,201.3,201.0,201.2,202.17,13900,0,4522899,0,30108
2023-08-08 15:00:00,1691487000,200.45,201.1,200.25,200.95,200.18,67087,0,4508999,0,30108
2023-08-08 14:59:00,1691486940,200.6,200.75,200.5,200.5,202.2,5521,0,4441912,0,30108
2023-08-08 14:58:00,1691486880,200.75,200.75,200.55,200.7,202.2,1816,0,4436391,0,30108
2023-08-08 14:57:00,1691486820,200.6,200.75,200.55,200.7,202.2,3412,0,4434575,0,30108
2023-08-08 14:56:00,1691486760,200.65,200.75,200.65,200.7,202.2,5148,0,4431163,0,30108
2023-08-08 14:55:00,1691486700,200.65,200.7,200.65,200.7,202.2,1161,0,4426015,0,30108
2023-08-08 14:54:00,1691486640,200.6,200.75,200.6,200.7,202.2,5910,0,4424854,0,30108
2023-08-08 14:53:00,1691486580,200.75,200.8,200.5,200.75,199.11,14277,0,4418944,0,30108
2023-08-08 14:52:00,1691486520,200.55,200.7,200.55,200.7,202.21,1093,0,4404667,0,30108
2023-08-08 14:51:00,1691486460,200.5,200.7,200.5,200.7,202.21,6102,0,4403574,0,30108
2023-08-08 14:50:00,1691486400,200.55,200.75,200.45,200.45,197.6,9538,0,4397472,0,30108
2023-08-08 14:49:00,1691486340,200.2,200.6,200.2,200.6,202.22,6712,0,4387934,0,30108
2023-08-08 14:48:00,1691486280,200.3,200.4,200.1,200.4,202.22,6244,0,4381222,0,30108
2023-08-08 14:47:00,1691486220,200.3,200.4,200.3,200.4,202.22,2222,0,4374978,0,30108
2023-08-08 14:46:00,1691486160,200.4,200.4,200.25,200.4,202.22,1486,0,4372756,0,30108
2023-08-08 14:45:00,1691486100,200.2,200.4,200.15,200.25,199.92,18993,0,4371270,0,30108
2023-08-08 14:44:00,1691486040,200.6,200.6,200.15,200.25,202.23,4944,0,4352277,0,30108
2023-08-08 14:43:00,1691485980,200.45,200.65,200.35,200.45,199.79,17769,0,4347333,0,30108
2023-08-08 14:42:00,1691485920,200.5,200.6,200.4,200.5,202.24,3113,0,4329564,0,30108
2023-08-08 14:41:00,1691485860,200.3,200.45,200.2,200.4,202.24,5842,0,4326451,0,30108
2023-08-08 14:40:00,1691485800,200.7,200.7,200.15,200.45,195.42,6328,0,4320609,0,30108
2023-08-08 14:39:00,1691485740,200.7,200.75,200.55,200.55,202.25,2308,0,4314281,0,30108
2023-08-08 14:38:00,1691485680,200.6,200.6,200.6,200.6,202.25,181,0,4311973,0,30108
2023-08-08 14:37:00,1691485620,200.6,200.7,200.5,200.65,202.25,8791,0,4311792,0,30108
2023-08-08 14:36:00,1691485560,200.65,200.85,200.6,200.8,202.25,3414,0,4303001,0,30108
2023-08-08 14:35:00,1691485500,200.9,201.0,200.6,200.6,199.1,13607,0,4299587,0,30108
2023-08-08 14:34:00,1691485440,201.0,201.1,200.9,200.95,202.26,2238,0,4285980,0,30108
2023-08-08 14:33:00,1691485380,201.05,201.15,200.9,200.9,202.26,3722,0,4283742,0,30108
2023-08-08 14:32:00,1691485320,201.0,201.15,200.85,201.15,202.26,3909,0,4280020,0,30108
2023-08-08 14:31:00,1691485260,201.1,201.2,201.1,201.1,202.26,1705,0,4276111,0,30108
2023-08-08 14:30:00,1691485200,200.95,201.1,200.85,201.0,199.9,18065,0,4274406,0,30108
2023-08-08 14:29:00,1691485140,200.95,200.95,200.8,200.85,202.27,769,0,4256341,0,30108
2023-08-08 14:28:00,1691485080,200.8,200.9,200.65,200.85,202.27,8752,0,4255572,0,30108
2023-08-08 14:27:00,1691485020,200.85,200.9,200.7,200.85,202.27,5768,0,4246820,0,30108
2023-08-08 14:26:00,1691484960,200.7,200.85,200.7,200.7,202.27,1271,0,4241052,0,30108
2023-08-08 14:25:00,1691484900,200.6,200.8,200.6,200.8,202.27,2098,0,4239781,0,30108
2023-08-08 14:24:00,1691484840,200.6,200.8,200.55,200.75,202.27,2664,0,4237683,0,30108
2023-08-08 14:23:00,1691484780,200.75,200.75,200.6,200.75,202.27,705,0,4235019,0,30108
2023-08-08 14:22:00,1691484720,200.45,200.7,200.4,200.55,188.27,3023,0,4234314,0,30108
2023-08-08 14:21:00,1691484660,200.45,200.5,200.4,200.5,202.28,490,0,4231291,0,30108
2023-08-08 14:20:00,1691484600,200.35,200.5,200.3,200.5,202.28,839,0,4230801,0,30108
2023-08-08 14:19:00,1691484540,200.3,200.45,200.3,200.4,202.28,3111,0,4229962,0,30108
2023-08-08 14:18:00,1691484480,200.15,200.3,200.15,200.2,202.28,4164,0,4226851,0,30108
2023-08-08 14:17:00,1691484420,200.05,200.15,200.05,200.05,202.28,8721,0,4222687,0,30108
2023-08-08 14:16:00,1691484360,200.15,200.25,200.15,200.2,190.21,3491,0,4213966,0,30108
2023-08-08 14:15:00,1691484300,200.25,200.25,200.0,200.1,200.43,22522,0,4210475,0,30108
2023-08-08 14:14:00,1691484240,200.3,200.3,200.15,200.3,202.3,2326,0,4187953,0,30108
2023-08-08 14:13:00,1691484180,200.45,200.45,200.15,200.35,202.3,11104,0,4185627,0,30108
2023-08-08 14:12:00,1691484120,200.2,200.4,200.15,200.4,179.2,1807,0,4174523,0,30108
2023-08-08 14:11:00,1691484060,200.2,200.25,200.15,200.25,202.31,3248,0,4172716,0,30108
2023-08-08 14:10:00,1691484000,200.3,200.35,200.1,200.15,202.31,12654,0,4169468,0,30108
2023-08-08 14:09:00,1691483940,200.35,200.5,200.2,200.2,200.15,19205,0,4156814,0,30108
2023-08-08 14:08:00,1691483880,200.65,200.75,200.45,200.45,194.77,5479,0,4137609,0,30108
2023-08-08 14:07:00,1691483820,200.65,200.75,200.5,200.75,202.33,9428,0,4132130,0,30108
2023-08-08 14:06:00,1691483760,201.1,201.1,200.5,200.55,200.71,25303,0,4122702,0,30108
2023-08-08 14:05:00,1691483700,201.4,201.4,201.05,201.25,202.34,17098,0,4097399,0,30108
2023-08-08 14:04:00,1691483640,201.35,201.5,201.1,201.1,198.2,9855,0,4080301,0,30108
2023-08-08 14:03:00,1691483580,201.45,201.55,201.3,201.55,202.35,5850,0,4070446,0,30108
2023-08-08 14:02:00,1691483520,201.45,201.55,201.35,201.55,202.35,5413,0,4064596,0,30108
2023-08-08 14:01:00,1691483460,201.35,201.55,201.35,201.55,202.35,3596,0,4059183,0,30108
2023-08-08 14:00:00,1691483400,201.25,201.4,201.25,201.4,202.35,4729,0,4055587,0,30108
2023-08-08 13:59:00,1691483340,201.45,201.55,201.3,201.4,202.35,2453,0,4050858,0,30108
2023-08-08 13:58:00,1691483280,201.3,201.6,201.25,201.55,202.35,9402,0,4048405,0,30108
2023-08-08 13:57:00,1691483220,201.35,201.35,201.35,201.35,202.35,2124,0,4039003,0,30108
2023-08-08 13:56:00,1691483160,201.3,201.3,201.25,201.3,189.6,3166,0,4036879,0,30108
2023-08-08 13:55:00,1691483100,201.3,201.3,201.2,201.2,202.36,470,0,4033713,0,30108
2023-08-08 13:54:00,1691483040,201.3,201.3,201.2,201.25,202.36,8933,0,4033243,0,30108
2023-08-08 13:53:00,1691482980,201.3,201.3,201.2,201.25,202.36,1016,0,4024310,0,30108
2023-08-08 13:52:00,1691482920,201.25,201.25,201.25,201.25,202.36,351,0,4023294,0,30108
2023-08-08 13:51:00,1691482860,201.15,201.25,201.15,201.15,202.36,7281,0,4022943,0,30108
