time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,4.2,4.2,4.2,4.2,0.0,0,0,1519400,248500,135856
2023-07-28 15:27:00,1690538220,4.2,4.2,4.2,4.2,3.91,28400,0,1519400,248500,135856
2023-07-28 15:26:00,1690538160,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:25:00,1690538100,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:24:00,1690538040,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:23:00,1690537980,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:22:00,1690537920,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:21:00,1690537860,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:20:00,1690537800,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:19:00,1690537740,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:18:00,1690537680,4.3,4.3,4.3,4.3,0.0,0,0,1491000,248500,135856
2023-07-28 15:17:00,1690537620,4.3,4.3,4.3,4.3,4.45,7100,14200,1491000,248500,135856
2023-07-28 15:16:00,1690537560,4.3,4.3,4.3,4.3,0.0,0,0,1483900,234300,135856
2023-07-28 15:15:00,1690537500,4.3,4.3,4.3,4.3,0.0,0,0,1483900,234300,135856
2023-07-28 15:14:00,1690537440,4.3,4.3,4.3,4.3,0.0,0,0,1483900,234300,135856
2023-07-28 15:13:00,1690537380,4.25,4.3,4.25,4.3,4.45,21300,0,1483900,234300,135856
2023-07-28 15:12:00,1690537320,4.3,4.3,4.3,4.3,0.0,0,0,1462600,234300,135856
2023-07-28 15:11:00,1690537260,4.3,4.3,4.3,4.3,0.0,0,0,1462600,234300,135856
2023-07-28 15:10:00,1690537200,4.3,4.3,4.3,4.3,0.0,0,0,1462600,234300,135856
2023-07-28 15:09:00,1690537140,4.3,4.3,4.3,4.3,0.0,0,0,1462600,234300,135856
2023-07-28 15:08:00,1690537080,4.3,4.3,4.3,4.3,0.0,0,0,1462600,234300,135856
2023-07-28 15:07:00,1690537020,4.3,4.3,4.3,4.3,0.0,0,0,1462600,234300,135856
2023-07-28 15:06:00,1690536960,4.3,4.3,4.3,4.3,4.45,21300,-7100,1462600,234300,135856
2023-07-28 15:05:00,1690536900,4.35,4.35,4.35,4.35,0.0,0,0,1441300,241400,135856
2023-07-28 15:04:00,1690536840,4.35,4.35,4.35,4.35,0.0,0,0,1441300,241400,135856
2023-07-28 15:03:00,1690536780,4.35,4.35,4.35,4.35,0.0,0,0,1441300,241400,135856
2023-07-28 15:02:00,1690536720,4.35,4.35,4.35,4.35,2.43,7100,0,1441300,241400,135856
2023-07-28 15:01:00,1690536660,4.4,4.4,4.4,4.4,4.46,7100,0,1434200,241400,135856
2023-07-28 15:00:00,1690536600,4.45,4.45,4.45,4.45,4.46,7100,14200,1427100,241400,135856
2023-07-28 14:59:00,1690536540,4.55,4.55,4.55,4.55,5.45,14200,-14200,1420000,227200,135856
2023-07-28 14:58:00,1690536480,4.5,4.5,4.5,4.5,0.0,0,0,1405800,241400,135856
2023-07-28 14:57:00,1690536420,4.5,4.5,4.5,4.5,0.0,0,0,1405800,241400,135856
2023-07-28 14:56:00,1690536360,4.5,4.5,4.5,4.5,4.45,7100,0,1405800,241400,135856
2023-07-28 14:55:00,1690536300,4.55,4.55,4.55,4.55,4.45,7100,-14200,1398700,241400,135856
2023-07-28 14:54:00,1690536240,4.55,4.55,4.55,4.55,0.0,0,0,1391600,255600,135856
2023-07-28 14:53:00,1690536180,4.55,4.55,4.55,4.55,0.0,0,0,1391600,255600,135856
2023-07-28 14:52:00,1690536120,4.55,4.55,4.55,4.55,0.0,0,0,1391600,255600,135856
2023-07-28 14:51:00,1690536060,4.55,4.55,4.55,4.55,0.0,0,0,1391600,255600,135856
2023-07-28 14:50:00,1690536000,4.55,4.55,4.55,4.55,4.45,56800,0,1391600,255600,135856
2023-07-28 14:49:00,1690535940,4.8,4.8,4.8,4.8,0.0,0,0,1334800,255600,135856
2023-07-28 14:48:00,1690535880,4.8,4.8,4.8,4.8,4.45,7100,-7100,1334800,255600,135856
2023-07-28 14:47:00,1690535820,4.85,4.85,4.85,4.85,0.0,0,0,1327700,262700,135856
2023-07-28 14:46:00,1690535760,4.85,4.85,4.85,4.85,0.0,0,0,1327700,262700,135856
2023-07-28 14:45:00,1690535700,4.85,4.85,4.85,4.85,4.45,7100,0,1327700,262700,135856
2023-07-28 14:44:00,1690535640,4.7,4.8,4.7,4.8,4.9,28400,0,1320600,262700,135856
2023-07-28 14:43:00,1690535580,4.65,4.65,4.65,4.65,4.44,7100,-7100,1292200,262700,135856
2023-07-28 14:42:00,1690535520,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:41:00,1690535460,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:40:00,1690535400,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:39:00,1690535340,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:38:00,1690535280,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:37:00,1690535220,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:36:00,1690535160,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:35:00,1690535100,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:34:00,1690535040,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:33:00,1690534980,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:32:00,1690534920,4.6,4.6,4.6,4.6,0.0,0,0,1285100,269800,135856
2023-07-28 14:31:00,1690534860,4.55,4.6,4.55,4.6,4.44,21300,7100,1285100,269800,135856
2023-07-28 14:30:00,1690534800,4.6,4.6,4.6,4.6,0.0,0,0,1263800,262700,135856
2023-07-28 14:29:00,1690534740,4.6,4.6,4.6,4.6,0.0,0,0,1263800,262700,135856
2023-07-28 14:28:00,1690534680,4.6,4.6,4.6,4.6,0.0,0,0,1263800,262700,135856
2023-07-28 14:27:00,1690534620,4.6,4.6,4.6,4.6,0.0,0,0,1263800,262700,135856
2023-07-28 14:26:00,1690534560,4.6,4.65,4.6,4.6,5.74,28400,0,1263800,262700,135856
2023-07-28 14:25:00,1690534500,4.35,4.35,4.35,4.35,4.41,7100,-7100,1235400,262700,135856
2023-07-28 14:24:00,1690534440,4.6,4.6,4.6,4.6,0.0,0,0,1228300,269800,135856
2023-07-28 14:23:00,1690534380,4.6,4.6,4.6,4.6,0.0,0,0,1228300,269800,135856
2023-07-28 14:22:00,1690534320,4.6,4.6,4.6,4.6,0.0,0,0,1228300,269800,135856
2023-07-28 14:21:00,1690534260,4.6,4.6,4.6,4.6,0.0,0,0,1228300,269800,135856
2023-07-28 14:20:00,1690534200,4.6,4.6,4.6,4.6,0.0,0,0,1228300,269800,135856
2023-07-28 14:19:00,1690534140,4.6,4.6,4.6,4.6,0.0,0,0,1228300,269800,135856
2023-07-28 14:18:00,1690534080,4.6,4.6,4.6,4.6,0.0,0,0,1228300,269800,135856
2023-07-28 14:17:00,1690534020,4.6,4.6,4.6,4.6,0.0,0,0,1228300,269800,135856
2023-07-28 14:16:00,1690533960,4.6,4.6,4.6,4.6,4.41,7100,0,1228300,269800,135856
2023-07-28 14:15:00,1690533900,4.65,4.65,4.65,4.65,4.41,7100,14200,1221200,269800,135856
2023-07-28 14:14:00,1690533840,4.65,4.65,4.65,4.65,4.41,113600,0,1214100,255600,135856
2023-07-28 14:13:00,1690533780,4.7,4.7,4.7,4.7,0.0,0,0,1100500,255600,135856
2023-07-28 14:12:00,1690533720,4.7,4.7,4.7,4.7,0.0,0,7100,1100500,255600,135856
2023-07-28 14:11:00,1690533660,4.6,4.6,4.6,4.6,0.0,0,0,1100500,248500,135856
2023-07-28 14:10:00,1690533600,4.6,4.6,4.6,4.6,0.0,0,56800,1100500,248500,135856
2023-07-28 14:09:00,1690533540,4.5,4.5,4.5,4.5,0.0,0,0,1100500,191700,135856
2023-07-28 14:08:00,1690533480,4.5,4.5,4.5,4.5,0.0,0,0,1100500,191700,135856
2023-07-28 14:07:00,1690533420,4.5,4.5,4.5,4.5,0.0,0,0,1100500,191700,135856
2023-07-28 14:06:00,1690533360,4.5,4.5,4.5,4.5,0.0,0,0,1100500,191700,135856
2023-07-28 14:05:00,1690533300,4.5,4.5,4.5,4.5,0.0,0,0,1100500,191700,135856
2023-07-28 14:04:00,1690533240,4.5,4.5,4.5,4.5,4.41,71000,0,1100500,191700,135856
2023-07-28 14:03:00,1690533180,4.5,4.5,4.5,4.5,0.0,0,0,1029500,191700,135856
2023-07-28 14:02:00,1690533120,4.5,4.5,4.5,4.5,0.0,0,0,1029500,191700,135856
2023-07-28 14:01:00,1690533060,4.5,4.5,4.5,4.5,4.41,21300,0,1029500,191700,135856
2023-07-28 14:00:00,1690533000,4.55,4.55,4.55,4.55,0.0,0,0,1008200,191700,135856
2023-07-28 13:59:00,1690532940,4.55,4.55,4.55,4.55,0.0,0,0,1008200,191700,135856
2023-07-28 13:58:00,1690532880,4.55,4.55,4.55,4.55,0.0,0,-7100,1008200,191700,135856
2023-07-28 13:57:00,1690532820,4.4,4.4,4.4,4.4,0.0,0,0,1008200,198800,135856
2023-07-28 13:56:00,1690532760,4.4,4.4,4.4,4.4,0.0,0,0,1008200,198800,135856
2023-07-28 13:55:00,1690532700,4.4,4.4,4.4,4.4,0.0,0,0,1008200,198800,135856
2023-07-28 13:54:00,1690532640,4.4,4.4,4.4,4.4,4.41,14200,7100,1008200,198800,135856
2023-07-28 13:53:00,1690532580,4.3,4.3,4.3,4.3,4.41,14200,-14200,994000,191700,135856
2023-07-28 13:52:00,1690532520,4.4,4.4,4.4,4.4,0.0,0,0,979800,205900,135856
2023-07-28 13:51:00,1690532460,4.4,4.4,4.4,4.4,0.0,0,0,979800,205900,135856
