time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,95.55,95.55,95.3,95.45,96.26,89974,0,13740320,0,6364
2023-08-01 15:27:00,1690883820,95.55,95.6,95.5,95.6,96.26,30152,0,13650346,0,6364
2023-08-01 15:26:00,1690883760,95.5,95.6,95.5,95.6,93.68,52606,0,13620194,0,6364
2023-08-01 15:25:00,1690883700,95.45,95.6,95.45,95.55,96.27,130984,0,13567588,0,6364
2023-08-01 15:24:00,1690883640,95.55,95.6,95.5,95.5,91.65,29066,0,13436604,0,6364
2023-08-01 15:23:00,1690883580,95.55,95.6,95.55,95.6,96.28,13412,0,13407538,0,6364
2023-08-01 15:22:00,1690883520,95.55,95.6,95.55,95.6,96.28,19662,0,13394126,0,6364
2023-08-01 15:21:00,1690883460,95.55,95.6,95.5,95.6,96.28,27030,0,13374464,0,6364
2023-08-01 15:20:00,1690883400,95.55,95.6,95.5,95.6,96.28,74537,0,13347434,0,6364
2023-08-01 15:19:00,1690883340,95.55,95.6,95.55,95.6,96.28,30131,0,13272897,0,6364
2023-08-01 15:18:00,1690883280,95.6,95.65,95.55,95.6,91.01,25116,0,13242766,0,6364
2023-08-01 15:17:00,1690883220,95.6,95.65,95.6,95.65,96.29,20208,0,13217650,0,6364
2023-08-01 15:16:00,1690883160,95.6,95.65,95.55,95.65,96.29,26007,0,13197442,0,6364
2023-08-01 15:15:00,1690883100,95.6,95.65,95.55,95.65,96.29,33811,0,13171435,0,6364
2023-08-01 15:14:00,1690883040,95.6,95.65,95.6,95.65,96.29,9720,0,13137624,0,6364
2023-08-01 15:13:00,1690882980,95.65,95.7,95.65,95.65,96.29,14330,0,13127904,0,6364
2023-08-01 15:12:00,1690882920,95.6,95.7,95.6,95.7,96.29,29388,0,13113574,0,6364
2023-08-01 15:11:00,1690882860,95.75,95.75,95.6,95.65,96.29,17621,0,13084186,0,6364
2023-08-01 15:10:00,1690882800,95.8,95.8,95.7,95.7,96.29,23005,0,13066565,0,6364
2023-08-01 15:09:00,1690882740,95.7,95.75,95.7,95.75,96.29,5357,0,13043560,0,6364
2023-08-01 15:08:00,1690882680,95.85,95.85,95.7,95.75,96.29,6975,0,13038203,0,6364
2023-08-01 15:07:00,1690882620,95.85,95.9,95.7,95.8,91.35,26375,0,13031228,0,6364
2023-08-01 15:06:00,1690882560,95.75,95.9,95.75,95.8,96.3,64610,0,13004853,0,6364
2023-08-01 15:05:00,1690882500,95.75,95.8,95.75,95.8,96.3,17169,0,12940243,0,6364
2023-08-01 15:04:00,1690882440,95.75,95.8,95.75,95.8,96.3,14663,0,12923074,0,6364
2023-08-01 15:03:00,1690882380,95.8,95.8,95.75,95.8,96.3,19010,0,12908411,0,6364
2023-08-01 15:02:00,1690882320,95.6,95.8,95.6,95.75,96.3,27300,0,12889401,0,6364
2023-08-01 15:01:00,1690882260,95.8,95.85,95.7,95.7,96.3,23952,0,12862101,0,6364
2023-08-01 15:00:00,1690882200,95.55,95.8,95.55,95.75,94.84,87377,0,12838149,0,6364
2023-08-01 14:59:00,1690882140,95.5,95.55,95.45,95.5,96.31,13443,0,12750772,0,6364
2023-08-01 14:58:00,1690882080,95.45,95.5,95.4,95.45,96.31,43634,0,12737329,0,6364
2023-08-01 14:57:00,1690882020,95.45,95.5,95.45,95.5,96.31,8632,0,12693695,0,6364
2023-08-01 14:56:00,1690881960,95.45,95.5,95.45,95.5,96.31,8568,0,12685063,0,6364
2023-08-01 14:55:00,1690881900,95.5,95.5,95.4,95.5,96.31,3807,0,12676495,0,6364
2023-08-01 14:54:00,1690881840,95.45,95.5,95.4,95.45,96.31,17463,0,12672688,0,6364
2023-08-01 14:53:00,1690881780,95.45,95.5,95.45,95.5,96.31,3375,0,12655225,0,6364
2023-08-01 14:52:00,1690881720,95.5,95.55,95.45,95.5,96.31,8169,0,12651850,0,6364
2023-08-01 14:51:00,1690881660,95.55,95.55,95.5,95.55,96.31,8156,0,12643681,0,6364
2023-08-01 14:50:00,1690881600,95.55,95.55,95.5,95.5,96.31,2821,0,12635525,0,6364
2023-08-01 14:49:00,1690881540,95.5,95.6,95.5,95.5,87.12,13740,0,12632704,0,6364
2023-08-01 14:48:00,1690881480,95.5,95.6,95.5,95.6,96.32,7702,0,12618964,0,6364
2023-08-01 14:47:00,1690881420,95.6,95.6,95.5,95.6,96.32,27943,0,12611262,0,6364
2023-08-01 14:46:00,1690881360,95.6,95.65,95.55,95.55,96.32,6383,0,12583319,0,6364
2023-08-01 14:45:00,1690881300,95.55,95.65,95.55,95.65,96.32,19178,0,12576936,0,6364
2023-08-01 14:44:00,1690881240,95.55,95.6,95.55,95.6,96.32,11104,0,12557758,0,6364
2023-08-01 14:43:00,1690881180,95.6,95.6,95.55,95.6,96.32,19510,0,12546654,0,6364
2023-08-01 14:42:00,1690881120,95.55,95.6,95.55,95.55,96.32,6999,0,12527144,0,6364
2023-08-01 14:41:00,1690881060,95.5,95.6,95.5,95.6,96.32,35428,0,12520145,0,6364
2023-08-01 14:40:00,1690881000,95.55,95.6,95.5,95.6,96.32,733,0,12484717,0,6364
2023-08-01 14:39:00,1690880940,95.6,95.6,95.5,95.5,96.32,99,0,12483984,0,6364
2023-08-01 14:38:00,1690880880,95.6,95.65,95.5,95.5,92.36,31450,0,12483885,0,6364
2023-08-01 14:37:00,1690880820,95.65,95.65,95.6,95.65,96.33,4467,0,12452435,0,6364
2023-08-01 14:36:00,1690880760,95.6,95.65,95.6,95.6,96.33,9040,0,12447968,0,6364
2023-08-01 14:35:00,1690880700,95.6,95.65,95.6,95.65,96.33,3195,0,12438928,0,6364
2023-08-01 14:34:00,1690880640,95.65,95.65,95.6,95.65,96.33,18656,0,12435733,0,6364
2023-08-01 14:33:00,1690880580,95.6,95.65,95.6,95.6,96.33,1702,0,12417077,0,6364
2023-08-01 14:32:00,1690880520,95.7,95.7,95.65,95.65,96.33,7779,0,12415375,0,6364
2023-08-01 14:31:00,1690880460,95.75,95.75,95.65,95.65,96.33,6849,0,12407596,0,6364
2023-08-01 14:30:00,1690880400,95.75,95.75,95.7,95.7,96.33,13331,0,12400747,0,6364
2023-08-01 14:29:00,1690880340,95.65,95.7,95.65,95.7,96.33,10588,0,12387416,0,6364
2023-08-01 14:28:00,1690880280,95.7,95.7,95.65,95.7,96.33,5701,0,12376828,0,6364
2023-08-01 14:27:00,1690880220,95.65,95.65,95.6,95.65,96.33,41536,0,12371127,0,6364
2023-08-01 14:26:00,1690880160,95.6,95.65,95.55,95.6,96.33,20453,0,12329591,0,6364
2023-08-01 14:25:00,1690880100,95.5,95.6,95.5,95.55,96.33,12587,0,12309138,0,6364
2023-08-01 14:24:00,1690880040,95.55,95.55,95.5,95.55,96.33,2911,0,12296551,0,6364
2023-08-01 14:23:00,1690879980,95.5,95.55,95.5,95.5,96.33,3317,0,12293640,0,6364
2023-08-01 14:22:00,1690879920,95.55,95.55,95.5,95.55,66.15,4072,0,12290323,0,6364
2023-08-01 14:21:00,1690879860,95.55,95.55,95.5,95.5,96.34,9565,0,12286251,0,6364
2023-08-01 14:20:00,1690879800,95.45,95.5,95.45,95.5,96.34,7376,0,12276686,0,6364
2023-08-01 14:19:00,1690879740,95.5,95.5,95.45,95.5,96.34,7485,0,12269310,0,6364
2023-08-01 14:18:00,1690879680,95.45,95.5,95.45,95.45,96.34,7254,0,12261825,0,6364
2023-08-01 14:17:00,1690879620,95.5,95.5,95.45,95.5,96.34,5232,0,12254571,0,6364
2023-08-01 14:16:00,1690879560,95.5,95.5,95.45,95.45,96.34,5610,0,12249339,0,6364
2023-08-01 14:15:00,1690879500,95.5,95.5,95.45,95.45,96.34,10375,0,12243729,0,6364
2023-08-01 14:14:00,1690879440,95.45,95.5,95.4,95.45,96.34,20042,0,12233354,0,6364
2023-08-01 14:13:00,1690879380,95.45,95.5,95.4,95.5,96.34,9204,0,12213312,0,6364
2023-08-01 14:12:00,1690879320,95.5,95.5,95.45,95.5,96.34,1755,0,12204108,0,6364
2023-08-01 14:11:00,1690879260,95.45,95.5,95.4,95.45,96.34,1082,0,12202353,0,6364
2023-08-01 14:10:00,1690879200,95.5,95.5,95.4,95.5,96.34,7028,0,12201271,0,6364
2023-08-01 14:09:00,1690879140,95.5,95.5,95.45,95.45,96.34,3047,0,12194243,0,6364
2023-08-01 14:08:00,1690879080,95.45,95.5,95.4,95.45,96.34,8263,0,12191196,0,6364
2023-08-01 14:07:00,1690879020,95.45,95.5,95.45,95.5,96.34,280,0,12182933,0,6364
2023-08-01 14:06:00,1690878960,95.45,95.5,95.45,95.5,96.34,2934,0,12182653,0,6364
2023-08-01 14:05:00,1690878900,95.45,95.5,95.45,95.5,96.34,1550,0,12179719,0,6364
2023-08-01 14:04:00,1690878840,95.4,95.5,95.35,95.5,96.34,8521,0,12178169,0,6364
2023-08-01 14:03:00,1690878780,95.45,95.45,95.45,95.45,96.34,3170,0,12169648,0,6364
2023-08-01 14:02:00,1690878720,95.35,95.45,95.35,95.4,96.34,2698,0,12166478,0,6364
2023-08-01 14:01:00,1690878660,95.25,95.45,95.25,95.4,93.46,42097,0,12163780,0,6364
2023-08-01 14:00:00,1690878600,95.35,95.35,95.25,95.3,96.35,1793,0,12121683,0,6364
2023-08-01 13:59:00,1690878540,95.45,95.45,95.25,95.25,96.35,23191,0,12119890,0,6364
2023-08-01 13:58:00,1690878480,95.4,95.45,95.4,95.4,96.35,4827,0,12096699,0,6364
2023-08-01 13:57:00,1690878420,95.45,95.45,95.4,95.45,96.35,2983,0,12091872,0,6364
2023-08-01 13:56:00,1690878360,95.4,95.5,95.4,95.4,96.35,8744,0,12088889,0,6364
2023-08-01 13:55:00,1690878300,95.5,95.5,95.4,95.5,96.35,10970,0,12080145,0,6364
2023-08-01 13:54:00,1690878240,95.5,95.5,95.45,95.45,96.35,1668,0,12069175,0,6364
2023-08-01 13:53:00,1690878180,95.4,95.5,95.4,95.45,96.35,23684,0,12067507,0,6364
2023-08-01 13:52:00,1690878120,95.45,95.5,95.45,95.5,96.35,9688,0,12043823,0,6364
2023-08-01 13:51:00,1690878060,95.5,95.5,95.5,95.5,96.35,652,0,12034135,0,6364
2023-08-01 13:50:00,1690878000,95.5,95.6,95.5,95.5,89.65,17954,0,12033483,0,6364
2023-08-01 13:49:00,1690877940,95.55,95.55,95.5,95.55,96.36,27,0,12015529,0,6364
