time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,93.7,93.95,93.7,93.95,93.78,370252,0,25297534,0,1624
2023-07-31 15:27:00,1690797420,93.9,93.9,93.75,93.85,93.78,190273,0,24927282,0,1624
2023-07-31 15:26:00,1690797360,93.8,93.85,93.8,93.85,93.78,131086,0,24737009,0,1624
2023-07-31 15:25:00,1690797300,93.85,93.9,93.8,93.85,93.78,183075,0,24605923,0,1624
2023-07-31 15:24:00,1690797240,93.8,93.9,93.75,93.9,93.78,284686,0,24422848,0,1624
2023-07-31 15:23:00,1690797180,93.75,93.85,93.75,93.85,93.78,159687,0,24138162,0,1624
2023-07-31 15:22:00,1690797120,93.75,93.8,93.75,93.8,93.78,109476,0,23978475,0,1624
2023-07-31 15:21:00,1690797060,93.8,93.8,93.7,93.8,93.78,166093,0,23868999,0,1624
2023-07-31 15:20:00,1690797000,93.8,93.85,93.75,93.75,93.78,280394,0,23702906,0,1624
2023-07-31 15:19:00,1690796940,93.75,93.75,93.65,93.75,93.78,139629,0,23422512,0,1624
2023-07-31 15:18:00,1690796880,93.75,93.8,93.7,93.7,93.78,201988,0,23282883,0,1624
2023-07-31 15:17:00,1690796820,93.75,93.8,93.75,93.8,93.78,218826,0,23080895,0,1624
2023-07-31 15:16:00,1690796760,93.8,93.8,93.7,93.8,93.78,166956,0,22862069,0,1624
2023-07-31 15:15:00,1690796700,93.7,93.8,93.7,93.75,93.78,264314,0,22695113,0,1624
2023-07-31 15:14:00,1690796640,93.8,93.8,93.7,93.75,93.78,96140,0,22430799,0,1624
2023-07-31 15:13:00,1690796580,93.75,93.8,93.75,93.75,93.78,110419,0,22334659,0,1624
2023-07-31 15:12:00,1690796520,93.7,93.8,93.7,93.8,93.78,157564,0,22224240,0,1624
2023-07-31 15:11:00,1690796460,93.75,93.75,93.7,93.75,93.78,161583,0,22066676,0,1624
2023-07-31 15:10:00,1690796400,93.7,93.75,93.65,93.7,93.78,88442,0,21905093,0,1624
2023-07-31 15:09:00,1690796340,93.7,93.75,93.65,93.75,91.94,118025,0,21816651,0,1624
2023-07-31 15:08:00,1690796280,93.7,93.8,93.65,93.75,93.79,167350,0,21698626,0,1624
2023-07-31 15:07:00,1690796220,93.75,93.8,93.75,93.8,93.79,140615,0,21531276,0,1624
2023-07-31 15:06:00,1690796160,93.7,93.8,93.7,93.8,93.79,120947,0,21390661,0,1624
2023-07-31 15:05:00,1690796100,93.85,93.85,93.7,93.75,93.79,127987,0,21269714,0,1624
2023-07-31 15:04:00,1690796040,93.85,93.85,93.8,93.8,93.79,87541,0,21141727,0,1624
2023-07-31 15:03:00,1690795980,93.85,93.85,93.8,93.8,93.79,79721,0,21054186,0,1624
2023-07-31 15:02:00,1690795920,93.8,93.85,93.8,93.8,93.79,107220,0,20974465,0,1624
2023-07-31 15:01:00,1690795860,93.75,93.85,93.75,93.85,93.79,87476,0,20867245,0,1624
2023-07-31 15:00:00,1690795800,93.7,93.8,93.7,93.8,93.79,99496,0,20779769,0,1624
2023-07-31 14:59:00,1690795740,93.8,93.8,93.7,93.75,93.79,43301,0,20680273,0,1624
2023-07-31 14:58:00,1690795680,93.75,93.8,93.7,93.75,93.79,95056,0,20636972,0,1624
2023-07-31 14:57:00,1690795620,93.85,93.9,93.75,93.8,93.79,198460,0,20541916,0,1624
2023-07-31 14:56:00,1690795560,93.85,93.9,93.85,93.9,93.79,33179,0,20343456,0,1624
2023-07-31 14:55:00,1690795500,93.85,93.9,93.85,93.9,93.79,54517,0,20310277,0,1624
2023-07-31 14:54:00,1690795440,93.85,93.9,93.85,93.9,93.79,43740,0,20255760,0,1624
2023-07-31 14:53:00,1690795380,93.85,93.9,93.85,93.9,93.79,73751,0,20212020,0,1624
2023-07-31 14:52:00,1690795320,93.8,93.9,93.8,93.9,93.79,58514,0,20138269,0,1624
2023-07-31 14:51:00,1690795260,93.7,93.85,93.7,93.85,93.79,121204,0,20079755,0,1624
2023-07-31 14:50:00,1690795200,93.8,93.8,93.75,93.8,93.79,12645,0,19958551,0,1624
2023-07-31 14:49:00,1690795140,93.75,93.8,93.75,93.75,93.79,32134,0,19945906,0,1624
2023-07-31 14:48:00,1690795080,93.8,93.85,93.75,93.8,93.79,47656,0,19913772,0,1624
2023-07-31 14:47:00,1690795020,93.75,93.85,93.75,93.85,93.79,71793,0,19866116,0,1624
2023-07-31 14:46:00,1690794960,93.7,93.8,93.7,93.8,93.79,64978,0,19794323,0,1624
2023-07-31 14:45:00,1690794900,93.7,93.75,93.7,93.75,93.79,59116,0,19729345,0,1624
2023-07-31 14:44:00,1690794840,93.7,93.75,93.7,93.75,93.79,86177,0,19670229,0,1624
2023-07-31 14:43:00,1690794780,93.7,93.75,93.7,93.75,93.79,76562,0,19584052,0,1624
2023-07-31 14:42:00,1690794720,93.75,93.75,93.7,93.75,93.79,47037,0,19507490,0,1624
2023-07-31 14:41:00,1690794660,93.75,93.75,93.7,93.7,93.79,37827,0,19460453,0,1624
2023-07-31 14:40:00,1690794600,93.7,93.75,93.7,93.7,93.79,62638,0,19422626,0,1624
2023-07-31 14:39:00,1690794540,93.7,93.75,93.7,93.75,93.79,36680,0,19359988,0,1624
2023-07-31 14:38:00,1690794480,93.7,93.75,93.7,93.75,93.79,18568,0,19323308,0,1624
2023-07-31 14:37:00,1690794420,93.75,93.8,93.7,93.75,93.79,168600,0,19304740,0,1624
2023-07-31 14:36:00,1690794360,93.7,93.8,93.7,93.8,93.79,169612,0,19136140,0,1624
2023-07-31 14:35:00,1690794300,93.75,93.8,93.7,93.75,93.79,168956,0,18966528,0,1624
2023-07-31 14:34:00,1690794240,93.8,93.85,93.75,93.8,93.79,47280,0,18797572,0,1624
2023-07-31 14:33:00,1690794180,93.85,93.85,93.8,93.85,93.79,62190,0,18750292,0,1624
2023-07-31 14:32:00,1690794120,93.9,93.9,93.8,93.8,93.79,36034,0,18688102,0,1624
2023-07-31 14:31:00,1690794060,93.9,93.9,93.85,93.85,93.79,51333,0,18652068,0,1624
2023-07-31 14:30:00,1690794000,93.9,94.0,93.85,93.85,93.79,137882,0,18600735,0,1624
2023-07-31 14:29:00,1690793940,93.95,94.0,93.95,94.0,93.79,35703,0,18462853,0,1624
2023-07-31 14:28:00,1690793880,94.0,94.0,93.95,94.0,93.79,15033,0,18427150,0,1624
2023-07-31 14:27:00,1690793820,93.9,93.95,93.85,93.95,93.79,73307,0,18412117,0,1624
2023-07-31 14:26:00,1690793760,93.9,93.95,93.9,93.95,93.79,35809,0,18338810,0,1624
2023-07-31 14:25:00,1690793700,93.85,93.95,93.85,93.95,93.79,23060,0,18303001,0,1624
2023-07-31 14:24:00,1690793640,93.95,93.95,93.85,93.9,98.92,35563,0,18279941,0,1624
2023-07-31 14:23:00,1690793580,93.9,93.95,93.9,93.9,93.78,39280,0,18244378,0,1624
2023-07-31 14:22:00,1690793520,94.0,94.0,93.95,93.95,93.78,9016,0,18205098,0,1624
2023-07-31 14:21:00,1690793460,94.0,94.0,93.95,93.95,93.78,46817,0,18196082,0,1624
2023-07-31 14:20:00,1690793400,93.9,94.0,93.9,93.95,93.78,26946,0,18149265,0,1624
2023-07-31 14:19:00,1690793340,93.9,93.95,93.9,93.95,93.78,32962,0,18122319,0,1624
2023-07-31 14:18:00,1690793280,93.9,93.95,93.9,93.95,93.78,37678,0,18089357,0,1624
2023-07-31 14:17:00,1690793220,93.9,93.95,93.9,93.95,93.78,26958,0,18051679,0,1624
2023-07-31 14:16:00,1690793160,93.9,93.95,93.9,93.95,93.78,18122,0,18024721,0,1624
2023-07-31 14:15:00,1690793100,93.9,93.95,93.85,93.95,93.78,11512,0,18006599,0,1624
2023-07-31 14:14:00,1690793040,93.85,93.95,93.85,93.85,93.78,11348,0,17995087,0,1624
2023-07-31 14:13:00,1690792980,93.9,93.9,93.85,93.9,93.78,21743,0,17983739,0,1624
2023-07-31 14:12:00,1690792920,93.9,93.95,93.85,93.85,93.78,26899,0,17961996,0,1624
2023-07-31 14:11:00,1690792860,93.95,93.95,93.9,93.95,93.78,14864,0,17935097,0,1624
2023-07-31 14:10:00,1690792800,93.85,93.9,93.85,93.9,93.78,5874,0,17920233,0,1624
2023-07-31 14:09:00,1690792740,93.9,94.0,93.85,93.9,93.78,73429,0,17914359,0,1624
2023-07-31 14:08:00,1690792680,93.85,93.9,93.85,93.85,93.78,7690,0,17840930,0,1624
2023-07-31 14:07:00,1690792620,93.9,93.95,93.85,93.9,93.78,20296,0,17833240,0,1624
2023-07-31 14:06:00,1690792560,93.95,93.95,93.9,93.95,93.78,13329,0,17812944,0,1624
2023-07-31 14:05:00,1690792500,93.95,93.95,93.9,93.9,93.78,3918,0,17799615,0,1624
2023-07-31 14:04:00,1690792440,93.95,93.95,93.9,93.9,93.78,17745,0,17795697,0,1624
2023-07-31 14:03:00,1690792380,93.9,93.95,93.9,93.9,93.78,11508,0,17777952,0,1624
2023-07-31 14:02:00,1690792320,93.8,93.95,93.8,93.95,93.78,89682,0,17766444,0,1624
2023-07-31 14:01:00,1690792260,93.75,93.85,93.75,93.85,93.78,47119,0,17676762,0,1624
2023-07-31 14:00:00,1690792200,93.75,93.85,93.75,93.8,93.78,32115,0,17629643,0,1624
2023-07-31 13:59:00,1690792140,93.75,93.8,93.75,93.8,93.78,19721,0,17597528,0,1624
2023-07-31 13:58:00,1690792080,93.8,93.85,93.75,93.8,93.78,18254,0,17577807,0,1624
2023-07-31 13:57:00,1690792020,93.8,93.85,93.8,93.85,93.78,12941,0,17559553,0,1624
2023-07-31 13:56:00,1690791960,93.85,93.85,93.8,93.85,93.78,8463,0,17546612,0,1624
2023-07-31 13:55:00,1690791900,93.8,93.85,93.8,93.8,93.78,5247,0,17538149,0,1624
2023-07-31 13:54:00,1690791840,93.75,93.85,93.75,93.85,93.78,17309,0,17532902,0,1624
2023-07-31 13:53:00,1690791780,93.75,93.85,93.75,93.8,93.78,9045,0,17515593,0,1624
2023-07-31 13:52:00,1690791720,93.8,93.85,93.75,93.8,93.78,20360,0,17506548,0,1624
2023-07-31 13:51:00,1690791660,93.8,93.85,93.8,93.85,93.78,8353,0,17486188,0,1624
2023-07-31 13:50:00,1690791600,93.8,93.85,93.8,93.85,93.78,4905,0,17477835,0,1624
2023-07-31 13:49:00,1690791540,93.8,93.85,93.8,93.85,93.78,21552,0,17472930,0,1624
