time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,1975.7,1975.7,1966.95,1968.8,1971.64,3391,0,904169,0,14418
2023-07-31 15:27:00,1690797420,1972.05,1981.7,1971.85,1976.0,1976.41,25512,0,900778,0,14418
2023-07-31 15:26:00,1690797360,1967.65,1972.0,1967.4,1972.0,1970.3,5338,0,875266,0,14418
2023-07-31 15:25:00,1690797300,1968.6,1969.0,1967.25,1967.4,1968.97,3059,0,869928,0,14418
2023-07-31 15:24:00,1690797240,1968.05,1969.0,1967.9,1968.5,1967.44,3699,0,866869,0,14418
2023-07-31 15:23:00,1690797180,1966.85,1968.85,1966.8,1968.5,1967.77,4663,0,863170,0,14418
2023-07-31 15:22:00,1690797120,1967.75,1967.75,1966.95,1967.0,1967.42,2427,0,858507,0,14418
2023-07-31 15:21:00,1690797060,1969.1,1969.35,1967.7,1967.85,1969.69,3650,0,856080,0,14418
2023-07-31 15:20:00,1690797000,1967.65,1969.7,1967.5,1969.3,1967.65,5765,0,852430,0,14418
2023-07-31 15:19:00,1690796940,1967.25,1968.0,1963.65,1967.85,1966.1,5757,0,846665,0,14418
2023-07-31 15:18:00,1690796880,1967.15,1968.0,1966.2,1967.75,1968.19,5238,0,840908,0,14418
2023-07-31 15:17:00,1690796820,1965.75,1967.4,1965.5,1966.2,1964.57,3780,0,835670,0,14418
2023-07-31 15:16:00,1690796760,1966.0,1966.35,1965.5,1965.7,1966.44,2636,0,831890,0,14418
2023-07-31 15:15:00,1690796700,1965.65,1966.95,1965.6,1965.85,1965.16,3278,0,829254,0,14418
2023-07-31 15:14:00,1690796640,1966.7,1966.95,1964.0,1965.8,1966.19,5393,0,825976,0,14418
2023-07-31 15:13:00,1690796580,1967.15,1967.5,1966.4,1966.55,1966.68,2472,0,820583,0,14418
2023-07-31 15:12:00,1690796520,1966.15,1967.75,1966.15,1966.85,1967.14,2301,0,818111,0,14418
2023-07-31 15:11:00,1690796460,1966.6,1968.25,1966.0,1967.1,1968.13,3010,0,815810,0,14418
2023-07-31 15:10:00,1690796400,1967.65,1968.5,1966.9,1966.9,1967.02,2308,0,812800,0,14418
2023-07-31 15:09:00,1690796340,1966.7,1968.55,1966.25,1967.45,1965.81,4146,0,810492,0,14418
2023-07-31 15:08:00,1690796280,1967.85,1967.85,1966.65,1966.65,1968.23,1942,0,806346,0,14418
2023-07-31 15:07:00,1690796220,1966.95,1968.85,1966.85,1967.75,1968.15,1952,0,804404,0,14418
2023-07-31 15:06:00,1690796160,1967.2,1967.85,1966.8,1966.85,1967.71,1027,0,802452,0,14418
2023-07-31 15:05:00,1690796100,1966.65,1967.75,1966.5,1966.75,1967.72,3061,0,801425,0,14418
2023-07-31 15:04:00,1690796040,1965.4,1968.1,1965.3,1966.8,1966.94,2250,0,798364,0,14418
2023-07-31 15:03:00,1690795980,1965.55,1965.95,1963.4,1965.55,1964.61,3327,0,796114,0,14418
2023-07-31 15:02:00,1690795920,1962.85,1966.1,1962.85,1965.85,1965.47,2799,0,792787,0,14418
2023-07-31 15:01:00,1690795860,1965.8,1966.0,1962.0,1962.0,1962.57,2848,0,789988,0,14418
2023-07-31 15:00:00,1690795800,1961.7,1966.9,1961.55,1966.7,1965.2,4348,0,787140,0,14418
2023-07-31 14:59:00,1690795740,1961.65,1962.55,1961.2,1962.0,1959.77,1842,0,782792,0,14418
2023-07-31 14:58:00,1690795680,1960.65,1963.6,1960.3,1961.45,1965.83,1285,0,780950,0,14418
2023-07-31 14:57:00,1690795620,1960.65,1961.6,1960.25,1961.1,1959.76,1060,0,779665,0,14418
2023-07-31 14:56:00,1690795560,1959.65,1961.9,1959.65,1961.15,1959.76,879,0,778605,0,14418
2023-07-31 14:55:00,1690795500,1959.95,1960.95,1959.35,1960.25,1959.76,853,0,777726,0,14418
2023-07-31 14:54:00,1690795440,1959.45,1960.5,1959.0,1959.5,1959.76,993,0,776873,0,14418
2023-07-31 14:53:00,1690795380,1959.55,1960.85,1958.95,1959.05,1959.76,1216,0,775880,0,14418
2023-07-31 14:52:00,1690795320,1957.7,1960.6,1957.5,1958.95,1956.16,2147,0,774664,0,14418
2023-07-31 14:51:00,1690795260,1957.25,1958.0,1957.25,1957.5,1959.77,1315,0,772517,0,14418
2023-07-31 14:50:00,1690795200,1959.45,1959.45,1956.65,1956.65,1959.77,2057,0,771202,0,14418
2023-07-31 14:49:00,1690795140,1959.55,1960.0,1959.05,1959.05,1959.77,1261,0,769145,0,14418
2023-07-31 14:48:00,1690795080,1961.9,1962.0,1959.1,1959.2,1959.77,4793,0,767884,0,14418
2023-07-31 14:47:00,1690795020,1965.0,1965.05,1961.45,1961.95,1963.9,7305,0,763091,0,14418
2023-07-31 14:46:00,1690794960,1965.25,1966.2,1964.9,1965.1,1959.73,1160,0,755786,0,14418
2023-07-31 14:45:00,1690794900,1964.55,1965.35,1963.0,1965.0,1963.54,3935,0,754626,0,14418
2023-07-31 14:44:00,1690794840,1964.35,1965.0,1963.85,1964.95,1959.71,759,0,750691,0,14418
2023-07-31 14:43:00,1690794780,1963.75,1965.0,1963.2,1965.0,1967.53,957,0,749932,0,14418
2023-07-31 14:42:00,1690794720,1964.45,1964.55,1963.15,1963.6,1959.7,1298,0,748975,0,14418
2023-07-31 14:41:00,1690794660,1965.6,1966.0,1964.05,1964.05,1967.84,1832,0,747677,0,14418
2023-07-31 14:40:00,1690794600,1966.0,1966.0,1965.2,1965.3,1968.03,892,0,745845,0,14418
2023-07-31 14:39:00,1690794540,1966.0,1966.0,1965.2,1965.2,1959.67,460,0,744953,0,14418
2023-07-31 14:38:00,1690794480,1966.0,1966.0,1964.8,1965.95,1969.03,794,0,744493,0,14418
2023-07-31 14:37:00,1690794420,1965.95,1966.25,1965.0,1965.15,1965.02,2764,0,743699,0,14418
2023-07-31 14:36:00,1690794360,1964.1,1966.15,1964.1,1965.65,1965.78,2405,0,740935,0,14418
2023-07-31 14:35:00,1690794300,1964.95,1965.5,1963.9,1965.25,1964.85,1407,0,738530,0,14418
2023-07-31 14:34:00,1690794240,1966.95,1967.0,1964.7,1965.5,1964.14,1622,0,737123,0,14418
2023-07-31 14:33:00,1690794180,1962.6,1967.0,1961.6,1965.8,1963.71,1782,0,735501,0,14418
2023-07-31 14:32:00,1690794120,1958.65,1962.7,1958.65,1961.55,1962.86,2236,0,733719,0,14418
2023-07-31 14:31:00,1690794060,1959.05,1960.9,1957.7,1960.0,1959.58,3667,0,731483,0,14418
2023-07-31 14:30:00,1690794000,1962.75,1963.0,1957.85,1957.85,1959.58,2072,0,727816,0,14418
2023-07-31 14:29:00,1690793940,1964.15,1965.6,1961.55,1962.5,1962.44,7512,0,725744,0,14418
2023-07-31 14:28:00,1690793880,1960.85,1966.55,1960.85,1964.8,1966.01,2215,0,718232,0,14418
2023-07-31 14:27:00,1690793820,1961.45,1961.95,1960.0,1961.45,1959.53,952,0,716017,0,14418
2023-07-31 14:26:00,1690793760,1955.05,1961.15,1955.0,1960.0,1959.53,2808,0,715065,0,14418
2023-07-31 14:25:00,1690793700,1956.5,1956.7,1955.65,1955.65,1945.23,498,0,712257,0,14418
2023-07-31 14:24:00,1690793640,1956.35,1956.6,1955.4,1956.0,1959.54,134,0,711759,0,14418
2023-07-31 14:23:00,1690793580,1956.65,1956.7,1955.45,1955.6,1959.54,195,0,711625,0,14418
2023-07-31 14:22:00,1690793520,1958.6,1958.6,1956.6,1956.6,1959.54,722,0,711430,0,14418
2023-07-31 14:21:00,1690793460,1959.0,1961.35,1959.0,1959.0,1959.54,2638,0,710708,0,14418
2023-07-31 14:20:00,1690793400,1954.65,1958.85,1954.65,1958.85,1956.58,2388,0,708070,0,14418
2023-07-31 14:19:00,1690793340,1952.85,1955.0,1952.0,1955.0,1953.84,1235,0,705682,0,14418
2023-07-31 14:18:00,1690793280,1954.5,1954.75,1952.85,1953.0,1954.92,1516,0,704447,0,14418
2023-07-31 14:17:00,1690793220,1956.0,1957.4,1953.0,1955.0,1954.99,9099,0,702931,0,14418
2023-07-31 14:16:00,1690793160,1955.35,1958.8,1954.3,1958.75,1954.88,2911,0,693832,0,14418
2023-07-31 14:15:00,1690793100,1952.75,1954.3,1952.75,1954.3,1959.65,577,0,690921,0,14418
2023-07-31 14:14:00,1690793040,1953.15,1953.65,1951.8,1953.6,1948.54,621,0,690344,0,14418
2023-07-31 14:13:00,1690792980,1951.7,1953.0,1950.5,1953.0,1952.76,2986,0,689723,0,14418
2023-07-31 14:12:00,1690792920,1950.6,1951.85,1950.2,1951.75,1950.65,759,0,686737,0,14418
2023-07-31 14:11:00,1690792860,1956.6,1957.4,1950.0,1951.85,1951.54,9946,0,685978,0,14418
2023-07-31 14:10:00,1690792800,1956.85,1957.15,1956.5,1957.15,1959.82,109,0,676032,0,14418
2023-07-31 14:09:00,1690792740,1958.4,1958.4,1957.0,1957.0,1959.82,906,0,675923,0,14418
2023-07-31 14:08:00,1690792680,1958.45,1958.5,1957.4,1958.5,1959.82,413,0,675017,0,14418
2023-07-31 14:07:00,1690792620,1958.3,1958.6,1957.0,1957.35,1944.9,452,0,674604,0,14418
2023-07-31 14:06:00,1690792560,1958.6,1958.6,1957.5,1958.0,1959.83,1093,0,674152,0,14418
2023-07-31 14:05:00,1690792500,1958.65,1958.8,1957.55,1958.8,1959.83,449,0,673059,0,14418
2023-07-31 14:04:00,1690792440,1958.0,1959.0,1957.15,1957.7,1959.83,1325,0,672610,0,14418
2023-07-31 14:03:00,1690792380,1956.9,1958.75,1956.65,1958.75,1959.83,792,0,671285,0,14418
2023-07-31 14:02:00,1690792320,1956.85,1957.45,1955.85,1957.45,1959.83,188,0,670493,0,14418
2023-07-31 14:01:00,1690792260,1956.55,1957.0,1955.45,1957.0,1933.65,256,0,670305,0,14418
2023-07-31 14:00:00,1690792200,1954.85,1956.8,1954.8,1955.55,1959.84,535,0,670049,0,14418
2023-07-31 13:59:00,1690792140,1954.2,1954.7,1953.35,1954.7,1949.28,634,0,669514,0,14418
2023-07-31 13:58:00,1690792080,1954.3,1954.75,1952.9,1954.0,1959.85,255,0,668880,0,14418
2023-07-31 13:57:00,1690792020,1953.3,1954.55,1953.3,1954.0,1959.85,388,0,668625,0,14418
2023-07-31 13:56:00,1690791960,1953.35,1954.75,1952.8,1954.0,1949.57,650,0,668237,0,14418
2023-07-31 13:55:00,1690791900,1958.0,1958.0,1951.85,1952.85,1955.85,6604,0,667587,0,14418
2023-07-31 13:54:00,1690791840,1957.15,1957.95,1956.95,1957.95,1959.9,426,0,660983,0,14418
2023-07-31 13:53:00,1690791780,1958.8,1958.9,1957.15,1957.2,1959.9,349,0,660557,0,14418
2023-07-31 13:52:00,1690791720,1952.45,1958.45,1952.45,1958.45,1953.01,1912,0,660208,0,14418
2023-07-31 13:51:00,1690791660,1953.2,1954.0,1950.95,1952.5,1953.67,2101,0,658296,0,14418
2023-07-31 13:50:00,1690791600,1951.75,1954.0,1951.75,1953.9,1952.27,855,0,656195,0,14418
2023-07-31 13:49:00,1690791540,1955.3,1955.3,1951.7,1953.05,1953.81,2130,0,655340,0,14418
2023-07-31 13:48:00,1690791480,1956.2,1957.25,1955.0,1955.25,1953.87,1070,0,653210,0,14418
2023-07-31 13:47:00,1690791420,1956.5,1956.5,1956.05,1956.05,1959.98,227,0,652140,0,14418
2023-07-31 13:46:00,1690791360,1957.6,1957.6,1956.05,1956.15,1959.98,390,0,651913,0,14418
2023-07-31 13:45:00,1690791300,1956.85,1957.65,1956.05,1957.65,1955.07,1325,0,651523,0,14418
2023-07-31 13:44:00,1690791240,1957.75,1957.85,1956.0,1956.0,1957.24,2357,0,650198,0,14418
2023-07-31 13:43:00,1690791180,1959.25,1959.25,1957.5,1957.85,1960.0,114,0,647841,0,14418
2023-07-31 13:42:00,1690791120,1958.1,1959.8,1958.1,1959.2,1955.01,1297,0,647727,0,14418
2023-07-31 13:41:00,1690791060,1958.5,1959.8,1958.45,1959.0,1960.01,904,0,646430,0,14418
2023-07-31 13:40:00,1690791000,1958.2,1959.35,1958.2,1959.35,1960.01,140,0,645526,0,14418
2023-07-31 13:39:00,1690790940,1958.65,1959.4,1957.55,1959.4,1960.01,175,0,645386,0,14418
2023-07-31 13:38:00,1690790880,1958.2,1958.9,1957.45,1958.35,1960.01,345,0,645211,0,14418
2023-07-31 13:37:00,1690790820,1959.25,1959.25,1958.0,1958.0,1960.01,954,0,644866,0,14418
2023-07-31 13:36:00,1690790760,1959.25,1959.5,1958.1,1959.5,1960.01,218,0,643912,0,14418
2023-07-31 13:35:00,1690790700,1959.45,1959.5,1958.05,1959.0,1960.01,203,0,643694,0,14418
2023-07-31 13:34:00,1690790640,1958.25,1959.35,1958.05,1958.55,1960.01,104,0,643491,0,14418
