time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,692.6,692.6,692.6,692.6,764.42,1627,0,16495217,0
2023-07-28 15:28:00,1690538280,692.6,692.6,692.6,692.6,663.04,1374,0,16493590,0
2023-07-28 15:27:00,1690538220,692.6,692.6,692.6,692.6,663.04,3055,0,16492216,0
2023-07-28 15:26:00,1690538160,692.6,692.6,692.6,692.6,772.37,1508,0,16489161,0
2023-07-28 15:25:00,1690538100,692.6,692.6,692.6,692.6,663.03,428,0,16487653,0
2023-07-28 15:24:00,1690538040,692.6,692.6,692.6,692.6,663.03,2277,0,16487225,0
2023-07-28 15:23:00,1690537980,692.6,692.6,692.6,692.6,663.03,797,0,16484948,0
2023-07-28 15:22:00,1690537920,692.6,692.6,692.6,692.6,718.72,2959,0,16484151,0
2023-07-28 15:21:00,1690537860,692.6,692.6,692.6,692.6,663.02,1654,0,16481192,0
2023-07-28 15:20:00,1690537800,692.6,692.6,692.6,692.6,689.01,6336,0,16479538,0
2023-07-28 15:19:00,1690537740,692.6,692.6,692.6,692.6,663.01,1408,0,16473202,0
2023-07-28 15:18:00,1690537680,692.6,692.6,692.6,692.6,701.37,4292,0,16471794,0
2023-07-28 15:17:00,1690537620,692.6,692.6,692.6,692.6,663.0,1475,0,16467502,0
2023-07-28 15:16:00,1690537560,692.6,692.6,692.6,692.6,722.71,2757,0,16466027,0
2023-07-28 15:15:00,1690537500,692.6,692.6,692.6,692.6,715.41,3140,0,16463270,0
2023-07-28 15:14:00,1690537440,692.6,692.6,692.6,692.6,662.98,3107,0,16460130,0
2023-07-28 15:13:00,1690537380,692.6,692.6,692.6,692.6,662.98,1986,0,16457023,0
2023-07-28 15:12:00,1690537320,692.6,692.6,692.6,692.6,703.14,4096,0,16455037,0
2023-07-28 15:11:00,1690537260,692.6,692.6,692.6,692.6,713.5,3255,0,16450941,0
2023-07-28 15:10:00,1690537200,692.6,692.6,692.6,692.6,689.71,6145,0,16447686,0
2023-07-28 15:09:00,1690537140,692.6,692.6,692.6,692.6,662.95,3248,0,16441541,0
2023-07-28 15:08:00,1690537080,692.6,692.6,692.6,692.6,698.98,22778,0,16438293,0
2023-07-28 15:07:00,1690537020,692.6,692.6,692.6,692.6,689.07,12535,0,16415515,0
2023-07-28 15:06:00,1690536960,692.6,692.6,692.6,692.6,686.79,6855,0,16402980,0
2023-07-28 15:05:00,1690536900,692.6,692.6,692.6,692.6,701.3,8528,0,16396125,0
2023-07-28 15:04:00,1690536840,692.6,692.6,692.6,692.6,684.45,15159,0,16387597,0
2023-07-28 15:03:00,1690536780,692.6,692.6,692.6,692.6,694.51,46372,0,16372438,0
2023-07-28 15:02:00,1690536720,684.0,692.6,683.5,692.6,691.08,567182,0,16326066,0
2023-07-28 15:01:00,1690536660,684.3,685.0,683.3,683.5,681.35,32043,0,15758884,0
2023-07-28 15:00:00,1690536600,685.8,686.7,684.1,684.1,686.38,38100,0,15726841,0
2023-07-28 14:59:00,1690536540,686.25,686.8,683.7,686.8,685.4,39475,0,15688741,0
2023-07-28 14:58:00,1690536480,683.15,687.0,683.0,685.4,687.02,55123,0,15649266,0
2023-07-28 14:57:00,1690536420,685.0,685.55,683.0,683.8,682.92,36258,0,15594143,0
2023-07-28 14:56:00,1690536360,685.1,688.0,684.3,685.9,686.69,134252,0,15557885,0
2023-07-28 14:55:00,1690536300,683.4,685.55,680.65,685.25,683.65,102327,0,15423633,0
2023-07-28 14:54:00,1690536240,678.05,684.75,677.1,684.75,680.37,117982,0,15321306,0
2023-07-28 14:53:00,1690536180,677.0,679.3,676.05,678.75,679.58,24375,0,15203324,0
2023-07-28 14:52:00,1690536120,676.0,677.0,675.05,676.55,673.11,12386,0,15178949,0
2023-07-28 14:51:00,1690536060,673.95,676.5,673.95,676.5,679.56,16195,0,15166563,0
2023-07-28 14:50:00,1690536000,672.65,674.35,672.65,674.0,676.74,9519,0,15150368,0
2023-07-28 14:49:00,1690535940,674.4,675.0,673.0,673.0,670.25,16043,0,15140849,0
2023-07-28 14:48:00,1690535880,672.7,674.4,671.9,674.0,673.14,24508,0,15124806,0
2023-07-28 14:47:00,1690535820,676.8,676.9,672.4,672.45,676.17,39192,0,15100298,0
2023-07-28 14:46:00,1690535760,677.6,677.7,676.05,676.5,671.66,13796,0,15061106,0
2023-07-28 14:45:00,1690535700,678.4,678.9,677.0,677.65,679.31,32352,0,15047310,0
2023-07-28 14:44:00,1690535640,676.3,679.8,676.05,678.85,678.83,41315,0,15014958,0
2023-07-28 14:43:00,1690535580,675.85,677.95,675.15,676.9,673.79,34109,0,14973643,0
2023-07-28 14:42:00,1690535520,677.4,677.4,674.2,675.3,676.82,55147,0,14939534,0
2023-07-28 14:41:00,1690535460,677.95,677.95,676.85,677.0,679.37,15812,0,14884387,0
2023-07-28 14:40:00,1690535400,678.45,679.05,676.1,678.0,678.03,42392,0,14868575,0
2023-07-28 14:39:00,1690535340,676.1,680.35,676.1,679.05,677.98,117753,0,14826183,0
2023-07-28 14:38:00,1690535280,672.9,677.0,671.8,676.6,675.89,94067,0,14708430,0
2023-07-28 14:37:00,1690535220,669.3,674.05,669.15,673.0,672.34,60199,0,14614363,0
2023-07-28 14:36:00,1690535160,669.25,669.7,668.85,669.65,660.21,8615,0,14554164,0
2023-07-28 14:35:00,1690535100,669.3,670.2,668.25,669.0,673.57,32576,0,14545549,0
2023-07-28 14:34:00,1690535040,668.2,669.3,668.2,669.2,660.18,6125,0,14512973,0
2023-07-28 14:33:00,1690534980,668.5,669.3,668.15,668.9,660.18,4754,0,14506848,0
2023-07-28 14:32:00,1690534920,668.55,669.0,668.4,668.95,685.38,5751,0,14502094,0
2023-07-28 14:31:00,1690534860,667.45,669.1,667.45,668.95,660.17,5662,0,14496343,0
2023-07-28 14:30:00,1690534800,668.0,668.0,667.0,667.4,669.39,15698,0,14490681,0
2023-07-28 14:29:00,1690534740,669.05,669.65,667.55,667.9,668.5,17333,0,14474983,0
2023-07-28 14:28:00,1690534680,669.5,670.0,669.0,669.15,669.87,59231,0,14457650,0
2023-07-28 14:27:00,1690534620,669.45,669.5,668.75,669.25,683.93,6042,0,14398419,0
2023-07-28 14:26:00,1690534560,668.5,669.3,668.5,669.3,660.1,1526,0,14392377,0
2023-07-28 14:25:00,1690534500,669.25,669.4,668.25,669.4,660.1,3097,0,14390851,0
2023-07-28 14:24:00,1690534440,669.5,669.5,668.45,669.0,660.1,6937,0,14387754,0
2023-07-28 14:23:00,1690534380,668.0,669.5,668.0,669.4,660.1,3772,0,14380817,0
2023-07-28 14:22:00,1690534320,668.2,669.0,667.5,668.1,671.53,12559,0,14377045,0
2023-07-28 14:21:00,1690534260,669.0,670.3,668.3,668.3,668.73,33162,0,14364486,0
2023-07-28 14:20:00,1690534200,667.95,669.95,667.95,669.95,672.3,23391,0,14331324,0
2023-07-28 14:19:00,1690534140,666.55,668.4,666.55,667.75,670.5,13671,0,14307933,0
2023-07-28 14:18:00,1690534080,667.0,667.0,666.4,666.95,660.04,2371,0,14294262,0
2023-07-28 14:17:00,1690534020,666.25,667.0,665.4,666.75,660.04,6178,0,14291891,0
2023-07-28 14:16:00,1690533960,666.0,666.4,665.25,666.2,660.04,8859,0,14285713,0
2023-07-28 14:15:00,1690533900,666.8,666.8,665.5,665.75,668.03,17826,0,14276854,0
2023-07-28 14:14:00,1690533840,667.4,668.0,666.4,666.4,667.19,19871,0,14259028,0
2023-07-28 14:13:00,1690533780,667.0,667.7,667.0,667.7,669.9,14386,0,14239157,0
2023-07-28 14:12:00,1690533720,669.45,669.7,667.05,667.5,669.56,29705,0,14224771,0
2023-07-28 14:11:00,1690533660,668.85,670.2,668.55,669.5,670.33,41031,0,14195066,0
2023-07-28 14:10:00,1690533600,668.65,668.95,667.85,668.55,659.96,5023,0,14154035,0
2023-07-28 14:09:00,1690533540,669.45,669.5,668.0,668.05,659.96,6050,0,14149012,0
2023-07-28 14:08:00,1690533480,668.4,669.95,668.4,669.05,673.01,21641,0,14142962,0
2023-07-28 14:07:00,1690533420,666.8,668.95,666.05,668.7,659.94,5474,0,14121321,0
2023-07-28 14:06:00,1690533360,666.5,667.0,666.0,666.7,671.93,11762,0,14115847,0
2023-07-28 14:05:00,1690533300,665.55,666.95,665.3,666.9,659.93,7162,0,14104085,0
2023-07-28 14:04:00,1690533240,666.0,667.0,665.2,665.2,669.3,15014,0,14096923,0
2023-07-28 14:03:00,1690533180,667.35,667.35,666.2,666.2,659.92,7559,0,14081909,0
2023-07-28 14:02:00,1690533120,668.95,668.95,667.05,667.15,666.79,20437,0,14074350,0
2023-07-28 14:01:00,1690533060,668.9,669.05,668.5,668.7,659.91,4286,0,14053913,0
2023-07-28 14:00:00,1690533000,668.45,670.0,668.25,669.0,671.14,49841,0,14049627,0
2023-07-28 13:59:00,1690532940,668.0,668.8,667.65,668.8,659.87,4329,0,13999786,0
2023-07-28 13:58:00,1690532880,667.9,668.55,667.3,668.05,671.87,11647,0,13995457,0
